step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_total_CO2_emission,system_total_CO_emission,system_total_HC_emission,system_total_NOx_emission,system_total_FuelConsumption,system_stopped_total_CO2_emission,system_stopped_total_CO_emission,system_stopped_total_HC_emission,system_stopped_total_NOx_emission,system_stopped_total_FuelConsumption,system_vph,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,12.136437170785127,74442.58969293993,669.4910649391426,4.492003178373262,27.061563129630635,23743.92830514222,0.0,0.0,0.0,0.0,0.0,18000.0,0,0.0,0.8339807810620316,0,0.0
10.0,0,0.0,0.0,11.180255089543051,131368.5782295926,1742.2307325369068,10.976517333055735,51.76312183934173,41900.67437209906,0.0,0.0,0.0,0.0,0.0,15840.0,0,0.0,0.7858464729668154,0,0.0
15.0,6,13.0,0.22033898305084745,8.470967641079548,150282.43606836605,3127.851190390496,17.619488353325618,61.015720748660456,47933.72330764472,15727.82207622019,986.2759617900051,4.860195154290835,7.2138930258397505,5016.790714392513,14160.0,6,13.0,0.578078210912918,6,13.0
20.0,14,55.0,0.6962025316455697,6.237616735526579,179097.8877135049,5387.412437772389,28.612979120876748,75.2851362989153,57125.319846318125,36726.56533756214,2304.4173591659974,11.355402801563738,16.849745999869377,11714.876399075349,14220.0,14,63.0,0.4056722208337679,14,63.0
25.0,27,161.0,1.7311827956989247,4.823797810564938,252628.20477388977,8733.780993470242,45.66449841366161,108.58542053142347,80578.98750755646,70830.79725624471,4444.888004861244,21.902734868963364,32.49740224260278,22593.292721135473,13392.0,27,161.0,0.28902700098245115,27,161.0
30.0,42,345.0,3.165137614678899,3.7554228656054134,269129.5079857705,11010.625935510736,56.32580106911297,116.7077280423702,85843.1792500559,110189.63796074825,6913.676493182514,34.06839669641411,50.554270038462676,35147.80022169424,13080.0,42,345.0,0.1982869075289377,42,345.0
35.0,61,610.0,5.126050420168068,3.1351675195703335,303380.32995725353,13454.734219414982,68.28097093028184,132.2499740620574,96768.5676033459,160015.63767590417,10039.326739772705,49.4707439697617,73.41143022625548,51041.07596095457,12240.0,61,610.0,0.14042546660898644,61,610.0
40.0,79,957.0,7.656,2.624726448640174,326290.4777162799,15845.198712298803,79.78755765161802,144.0947542194084,104076.72570518669,207245.53127477964,13002.11100671418,64.07061427923554,95.07972872809937,66106.25691451904,11250.0,79,959.0,0.11010489654142627,79,959.0
45.0,90,1380.0,10.78125,2.597754066329476,337102.66532117815,16861.06052131612,84.59839052473059,149.30356112188517,107525.68732008792,236168.44928955127,14821.458373441577,73.03441691808601,108.36170982135977,75331.96101873371,10240.0,90,1385.0,0.1020223125027072,90,1385.0
50.0,97,1856.0,14.276923076923078,2.5565091785347285,373953.8644908149,17970.853940352168,90.62105625650628,166.16411477062115,119279.5899365401,254586.94371204064,15981.746614653559,78.7505474053434,116.8235585573582,81207.01100798139,9360.0,97,1861.0,0.09826493779013624,97,1861.0
