step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_total_CO2_emission,system_total_CO_emission,system_total_HC_emission,system_total_NOx_emission,system_total_FuelConsumption,system_stopped_total_CO2_emission,system_stopped_total_CO_emission,system_stopped_total_HC_emission,system_stopped_total_NOx_emission,system_stopped_total_FuelConsumption,system_vph,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,11.220444559443315,64995.861138388966,805.411717775721,5.172307351271614,25.588609014256228,20730.72846959524,0.0,0.0,0.0,0.0,0.0,16560.0,0,0.0,0.8075807722883172,0,0.0
10.0,0,0.0,0.0,10.765156159782183,118138.23824585552,1620.8742031988568,10.069694776903548,47.14593497416628,37680.71957540184,0.0,0.0,0.0,0.0,0.0,14760.0,0,0.0,0.7834977276503787,0,0.0
15.0,3,6.0,0.10526315789473684,7.645096403168117,134381.5374435257,3039.276806957635,16.987611696381542,56.08207291503051,42861.96052722967,7854.696793701578,492.12015436001207,2.425202132112374,3.6012943058506943,2505.456242854628,13680.0,3,6.0,0.507966276847885,3,6.0
20.0,11,46.0,0.647887323943662,4.761119313604577,153986.14892832833,5483.371175409713,28.50204631077503,65.9695231981328,49115.96368645337,28867.181689101162,1811.8891950961643,8.928214398501654,13.245748164829607,9207.925200509713,12780.0,11,49.0,0.2744045432555563,11,49.0
25.0,28,152.0,1.9487179487179487,3.6747542569649787,203386.86523654364,7997.683129239893,41.192559354398945,88.93060771240604,64873.213585116624,73414.91548691344,4604.888153683898,22.691763935832054,33.67648234258825,23417.563190883757,11232.0,28,152.0,0.20711867994013292,28,152.0
30.0,40,331.0,3.8488372093023258,3.7060240259259922,219476.31597886592,9578.12668055706,48.71969059130736,96.067284412434,70005.73057956864,104957.8219380319,6586.414470136001,32.455463646052166,48.15673783916359,33478.97891219562,10320.0,40,331.0,0.17997667553606336,40,331.0
35.0,54,578.0,6.282608695652174,3.4899683473338587,274123.0451632396,11371.791903095782,58.2254215807728,119.95514403812093,87435.86058846426,141702.6369247192,8893.392464240322,43.823063836224165,65.01853052144392,45199.67666412763,9462.857142857143,54,578.0,0.148072228717283,54,578.0
40.0,60,862.0,8.979166666666666,3.2118540974466327,257728.9051873748,11824.46570799352,59.85056696969136,113.02745157050275,82207.348219164,157459.97061874776,9883.389714474944,48.701057061625264,72.25124345645973,50225.880992981765,8640.0,60,863.0,0.13452934403894612,60,863.0
45.0,67,1185.0,12.091836734693878,3.0362674302191444,298143.6449397405,13228.276479246138,67.23555199085573,130.87910906434348,95098.06967322629,175841.07510266348,11037.91337435678,54.38981744733726,80.68759167034224,56089.00401517935,7840.0,67,1187.0,0.12276544910987645,67,1187.0
50.0,71,1529.0,15.444444444444445,2.7999768875657822,256495.07709284168,12959.38779291105,64.94056319394626,112.88058036494046,81814.45506140288,186273.49998922655,11695.337359768324,57.62824857941857,85.47350427916187,59416.69430130826,7128.0,71,1531.0,0.10545537360519718,71,1531.0
55.0,74,1894.0,18.94,2.8922351675973768,276020.61665395636,13400.44560181906,67.46414574895138,122.13016232376788,88042.09027325368,194218.27453850917,12192.052343882833,60.07671749329036,89.12161547213857,61950.8814389724,6545.454545454546,74,1896.0,0.10111746634559454,74,1896.0
60.0,76,2269.0,22.91919191919192,2.549019544303579,261690.23808663883,13425.032189852323,67.20429345809953,115.8368802131884,83471.58997305366,199466.63270209628,12521.750196662226,61.701233656605005,91.53025055192246,63624.979468445956,5940.0,76,2271.0,0.09241630987083621,76,2271.0
65.0,77,2653.0,26.7979797979798,2.5746577438517875,269734.8799831552,13475.839190437713,67.59087355995709,119.05829707571881,86037.41372684266,202103.59407160876,12687.886216152823,62.51970953913668,92.7422105332501,64466.10567568837,5483.076923076924,77,2655.0,0.10643477926330347,77,2655.0
70.0,78,3039.0,30.39,2.4605344610597784,270225.84662406874,13695.737116124656,68.63995761412882,119.56423896189294,86194.10932549991,204718.28172094474,12851.165474086325,63.32453148611348,93.93988695012376,65300.12699790445,5142.857142857143,78,3041.0,0.10911549236587247,78,3041.0
75.0,78,3429.0,33.61764705882353,2.5299519660773977,280040.9037593597,13943.357315507048,69.93898342567519,123.74952852139157,89324.68754085722,204728.31664109623,12852.664048413455,63.331654242119775,93.94665521593572,65303.32800868457,4896.0,78,3431.0,0.10445227846771936,78,3431.0
80.0,79,3824.0,37.490196078431374,2.453678087822271,280051.2180921119,14102.477253730904,70.72515652234607,124.63725885778985,89327.93922789492,207353.04013829504,13017.442026219369,64.1435996357627,95.15110053507021,66140.55063761098,4590.0,79,3826.0,0.09342432217967989,79,3826.0
85.0,80,4220.0,40.57692307692308,2.490811620990791,266425.141954844,13908.238907175755,69.57297620984235,118.7081996550768,84981.92796314601,209976.77891802558,13182.089607585705,64.95492256065845,96.35490813334272,66977.45915946753,4404.705882352941,80,4222.0,0.09891063967083662,80,4222.0
90.0,80,4620.0,43.177570093457945,2.6672944719793894,289008.8579249956,14350.369000719502,72.11016752004502,127.7329861986443,92185.1883468531,209977.77777777758,13182.2222222222,64.95555555555552,96.35555555555574,66977.77777777766,4280.0,80,4622.0,0.11134221780015255,80,4622.0
95.0,81,5025.0,47.405660377358494,2.5476392442130167,291409.54432141007,14480.77163162672,72.62061757022423,128.00439183892934,92951.01391992324,212602.45142901395,13346.992385675429,65.76746386665818,97.55996668735693,67814.9845063657,4016.842105263158,81,5027.0,0.09203363650266992,81,5027.0
100.0,82,5434.0,51.264150943396224,2.612273151897757,283429.6473845557,14373.975882726892,72.02765370953713,125.50067936459463,90405.71377841059,215227.1379453928,13511.764679169764,66.57938226837199,98.76438682058104,68652.19533883424,3816.0,82,5436.0,0.09405816917416106,82,5436.0
105.0,82,5844.0,54.61682242990654,2.5922560521271767,286951.0615184313,14378.312905091008,72.15013008687535,127.0325046952308,91528.8399405871,215227.22222222202,13511.777777777756,66.57944444444442,98.76444444444463,68652.2222222221,3668.5714285714284,82,5846.0,0.09601368663968905,82,5846.0
110.0,84,6260.0,59.056603773584904,2.3873510425697146,279559.1648994701,14514.701934651213,72.6146047930723,123.6262271690498,89171.38641162931,220472.60531091382,13840.767166442607,68.20063580724344,101.17065823888119,70325.37115879978,3469.090909090909,84,6262.0,0.0892051923779312,84,6262.0
115.0,84,6680.0,63.61904761904762,2.080214693649526,278161.3811700979,14667.366030228757,73.25116418433413,124.09963289243345,88725.48978150374,220476.66666666645,13841.33333333331,68.20333333333332,101.17333333333353,70326.66666666654,3286.9565217391305,84,6682.0,0.07040006002340086,84,6682.0
120.0,85,7105.0,67.02830188679245,1.9434772965430755,276312.7912787697,14787.332085552229,73.71940649151554,122.89952598693083,88136.04959530337,223101.38888888867,14006.111111111088,69.01527777777777,102.37777777777798,71163.88888888876,3180.0,85,7107.0,0.07815363833666138,85,7107.0
125.0,86,7534.0,71.0754716981132,1.9817680334889702,298690.5940256925,15246.756968312662,76.35960647499329,132.39282874439002,95273.5580121352,225726.09629446155,14170.88656609045,69.82721119952045,103.58221206010964,72001.10638475549,3052.7999999999997,86,7536.0,0.08587560532912984,86,7536.0
130.0,86,7964.0,75.13207547169812,2.013210388466575,278922.8629357731,14888.0577391359,74.2553143253238,124.47742919238121,88968.49744684737,225726.1111111109,14170.888888888865,69.82722222222222,103.58222222222243,72001.11111111098,2935.3846153846157,86,7966.0,0.08222334576980934,86,7966.0
