step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_total_CO2_emission,system_total_CO_emission,system_total_HC_emission,system_total_NOx_emission,system_total_FuelConsumption,system_stopped_total_CO2_emission,system_stopped_total_CO_emission,system_stopped_total_HC_emission,system_stopped_total_NOx_emission,system_stopped_total_FuelConsumption,system_vph,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,11.31560892789706,60063.495371301,653.6052865354288,4.110475535670368,22.055949168826228,19157.662632554227,0.0,0.0,0.0,0.0,0.0,17280.0,0,0.0,0.8142183152511692,0,0.0
10.0,0,0.0,0.0,10.580281389254106,96569.3716386886,1344.489814083481,8.272148275343397,37.6103468907873,30801.389813367194,0.0,0.0,0.0,0.0,0.0,15120.0,0,0.0,0.7660507187742572,0,0.0
15.0,4,5.0,0.08771929824561403,8.228391670616432,151969.6244474311,3105.317799874434,17.634190666699972,61.91396209463648,48471.834816640076,10478.476241017723,656.2248726657419,3.234033252912554,4.80426661677748,3342.3775664440973,13680.0,4,5.0,0.5814122492651064,4,5.0
20.0,10,39.0,0.5131578947368421,5.8258404126779135,170886.95204783347,5040.400406014059,26.917520363804638,71.94005792731582,54506.287997576044,26220.555380869435,1644.299957887174,8.102832972235936,12.027252697457723,8363.71599879247,13680.0,10,43.0,0.40181923227128535,10,43.0
25.0,24,133.0,1.4301075268817205,4.842020407797921,239749.80130758058,8278.237036844446,43.290407670596196,103.13247731164472,76471.23377483843,62976.84412960824,3952.315502935799,19.475473512987403,28.895723175060734,20088.073523367624,13392.0,24,133.0,0.31351138153533625,24,133.0
30.0,40,299.0,2.7685185185185186,3.988493025386318,287973.3107456505,11366.433653109778,58.376582620833176,124.14919771823405,91853.5576774902,104938.92864554175,6584.015488920618,32.443993170239345,48.144658990207866,33472.95232566106,12960.0,40,299.0,0.21015733218099306,40,299.0
35.0,56,545.0,4.61864406779661,3.41750804820967,291145.87829803606,13100.876711765552,66.40687205381242,126.94570203408786,92866.26824356166,146931.59593561981,9220.742427946918,45.43633183056728,67.41494893860126,46867.58678334646,12137.142857142857,56,545.0,0.16026145907017378,56,545.0
40.0,71,871.0,7.08130081300813,2.7366792566554077,332121.2400040791,15322.123878861732,77.42665960043307,144.73742081878737,105936.32019519714,186302.0301409093,11691.108952837556,57.609518926051024,85.47939105345793,59425.79241442559,11070.0,71,872.0,0.11411915244301983,71,872.0
45.0,89,1280.0,10.078740157480315,2.4518872766594844,328016.41091111803,16698.005819848186,83.67056868014397,145.63954717468462,104627.57468453336,233543.57918600962,14657.184045319975,72.22478060842548,107.15799504613142,74494.69178754532,10160.0,89,1284.0,0.09613021543309545,89,1284.0
50.0,96,1555.0,12.054263565891473,1.9047030765550006,333813.44076664804,17609.777827947986,87.93572823402405,148.74627497729145,106476.95530673653,251918.98984244728,15811.658602730697,77.9131785751603,115.59176076677427,80355.99880103674,9288.0,96,1687.0,0.07860620007773167,96,1687.0
