step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_total_CO2_emission,system_total_CO_emission,system_total_HC_emission,system_total_NOx_emission,system_total_FuelConsumption,system_stopped_total_CO2_emission,system_stopped_total_CO_emission,system_stopped_total_HC_emission,system_stopped_total_NOx_emission,system_stopped_total_FuelConsumption,system_vph,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,10.556431224519976,60658.60972468341,783.9275018524252,4.934427992003251,23.14684973470484,19347.47778279221,0.0,0.0,0.0,0.0,0.0,18000.0,0,0.0,0.7807281423433856,0,0.0
10.0,0,0.0,0.0,10.645254685707453,103681.61889307827,1634.5517696894733,9.79935629246315,41.11891071817049,33069.909764867734,0.0,0.0,0.0,0.0,0.0,15120.0,0,0.0,0.7720710615790589,0,0.0
15.0,4,6.0,0.10909090909090909,8.615864709263807,139970.04089463886,3021.8536000971617,17.069035210687055,58.98675430601147,44644.27477471242,10476.741882151628,656.159525664001,3.233691486317888,4.80340029207154,3341.8243884783856,13200.0,4,6.0,0.5901367449900597,4,6.0
20.0,15,57.0,0.76,6.496656821931631,155112.13439476467,4666.607367179278,24.81489214163681,64.37199116529138,49474.904525845115,39328.10515079427,2468.79432570711,12.164948928332386,18.043368442295908,12544.70468207596,13500.0,15,57.0,0.41571499696754705,15,57.0
25.0,32,186.0,2.066666666666667,5.201822379202137,201392.43354048996,7564.347442679185,38.975917238388966,85.69526267385358,64237.152382663335,83948.1247208522,5266.891295627632,25.953647510120522,38.51389420533107,26777.39913521788,12960.0,32,186.0,0.30768810919097234,32,186.0
30.0,48,392.0,3.69811320754717,4.1524122463774535,256658.55027073892,10789.902490014972,55.04954634287732,110.64544835706847,81865.62565058137,125944.5277215291,7903.642025295425,38.946185298808246,57.78586415421894,40173.22507057913,12720.0,48,392.0,0.23261399990850887,48,392.0
35.0,63,678.0,5.947368421052632,2.8127299693590384,265076.2579153633,12955.831728040483,65.14392825939862,116.93170681573501,84551.30237561122,165312.6007222035,10374.39180691145,51.12107533632607,75.84987456925747,52730.677736328485,11725.714285714286,63,678.0,0.1479628284482972,63,678.0
40.0,71,841.0,7.008333333333334,1.9745612005449031,312871.0349276615,15876.98859437794,79.58802721047961,139.21527791079166,99796.59039169019,186309.54951780092,11692.4087809618,57.61566843027176,85.48474412060789,59428.191054048424,10800.0,71,944.0,0.10370232097838543,71,944.0
45.0,85,999.0,7.866141732283465,1.7602560119466841,308082.08552628354,16963.489373747383,84.44813366623738,138.3683254910062,98269.68357325329,222976.204111675,13988.014157902515,68.929166034543,102.29429175947543,71123.95673657213,10160.0,85,1266.0,0.09039030500680938,85,1266.0
50.0,81,1040.0,8.0,1.780423881440218,382045.95005413255,18327.066914099552,92.43967057067931,170.66555475132085,121860.57984146895,212553.09107604777,13339.765460929431,65.7330906579199,97.5269087150673,67799.2392316373,9360.0,81,1567.0,0.07534246529460116,81,1567.0
55.0,77,1127.0,8.537878787878787,2.0619255297885033,338533.26356224617,17364.585622916344,86.96761784807096,151.45252254902766,107982.05701382639,202032.78257634165,12677.47645951137,62.47020505171976,92.69471324488906,64443.51776834033,8640.0,77,1839.0,0.07573295124594545,77,1839.0
60.0,81,1344.0,10.181818181818182,2.1412083191442393,339605.459585702,17425.219925945858,87.26120864373691,151.25687948893813,108324.17001404348,212542.67151520186,13337.869682986398,65.72413478186284,97.51934508574796,67795.91541983759,7920.0,81,2112.0,0.08216647198733318,81,2112.0
65.0,86,1616.0,12.335877862595419,2.126892362111339,372134.54718848364,18229.45466060404,91.75635797108073,166.04377083267804,118699.40415469001,225686.53146325843,14164.859426035136,69.7985830430076,103.55534510806623,71988.48567409736,7255.384615384616,86,2419.0,0.07801345585295172,86,2419.0
70.0,98,2086.0,15.803030303030303,2.16578231255376,365690.47717470746,18558.96769429674,93.06620070310899,162.64933545032633,116644.43168450899,257198.48514600986,16144.630475986034,79.55347797420445,118.0192317639569,82040.02875093375,6788.571428571428,98,2781.0,0.08969885127385492,98,2781.0
75.0,104,2596.0,19.666666666666668,2.1638712578554262,361111.84225081326,18635.18715963606,93.23585781996684,161.10988872095686,115184.05355673457,272950.57645403483,17133.991006245964,84.4284212495424,125.24864051172328,87064.56087127936,6336.0,104,3191.0,0.08567842515264343,104,3191.0
80.0,101,2870.0,21.57894736842105,1.9305380187264227,342883.2132205199,18575.93948126186,92.58408173380133,154.12144018158023,109370.04660615834,265095.8525764639,16642.38520303565,82.0055803659244,121.64814129269654,84559.09615028472,5985.0,101,3546.0,0.07861037321130304,101,3546.0
85.0,96,2859.0,21.49624060150376,1.775812199515929,356746.61570780794,18695.61789186849,93.47280083039635,160.2092240644774,113791.73077037725,251957.1767946018,15816.602686164624,77.93680029115967,115.61631909033466,80368.17971316465,5632.941176470588,96,3865.0,0.07374036080182501,96,3865.0
90.0,92,2656.0,19.82089552238806,1.4802547146788296,360363.18775776494,18733.557339013732,93.75835599269621,161.6939196331735,114945.255718429,241427.38143234656,15152.171713756554,74.66385060953894,110.77658781807902,77009.43183678664,5360.0,92,4137.0,0.06458934595496917,92,4137.0
95.0,89,2430.0,17.73722627737226,1.8944620912524697,374520.2040028768,18836.23729621765,94.53605723664322,167.84490102973714,119460.54355772656,233547.71206681107,14657.464816856296,72.22616945172639,107.16024953705328,74496.01001906511,5191.578947368421,89,4392.0,0.07125226550161771,89,4392.0
100.0,89,2352.0,17.043478260869566,1.8721423617896455,362631.26038835425,18295.57570110209,91.78330729010166,161.52599116201966,115668.51816927532,233556.55875124782,14658.734888541125,72.2322143277177,107.16613702281985,74498.83198198157,4968.0,89,4609.0,0.060600449096079784,89,4609.0
105.0,93,2486.0,18.145985401459853,2.062207987048475,401257.1175057665,19426.206001684965,97.7923679372887,177.4176234216829,127988.68693434972,244048.33193337012,15317.182367137084,75.47677344673642,111.97974640367948,77845.45117561756,4697.142857142857,93,4849.0,0.0763015362849101,93,4849.0
110.0,102,2815.0,20.698529411764707,2.2109284888373875,372399.6086095164,19167.257731564507,95.9789380479668,165.84646578963242,118784.55711574845,267657.71670295845,16798.732200440303,82.77729894916618,122.81169689580256,85376.26774360288,4450.909090909091,102,5079.0,0.07926728733404771,102,5079.0
115.0,106,3337.0,24.902985074626866,2.148258153349746,352858.00387640746,18502.484187841514,92.44653187512336,156.20268428875747,112551.70518590718,278208.82034479495,17464.689455593623,86.05776994328403,127.66319442353728,88741.81217300872,4194.782608695653,106,5440.0,0.07890426450242459,106,5440.0
120.0,108,3877.0,28.71851851851852,2.1418146429070704,360348.1471252186,19021.26105242359,95.06576032687839,161.1812011661428,114940.68293115888,283469.12294904527,17795.86489569829,87.68935850388559,130.07940221454948,90419.72023070301,4050.0,108,5737.0,0.07616975907710788,108,5737.0
125.0,103,3802.0,28.37313432835821,1.7762525787408112,359688.86975016445,18940.123894684417,94.62141677300711,160.52430846335247,114730.42426405393,270344.0258302643,16971.75918010083,83.62860486898406,124.05618607743348,86233.13510377741,3859.2,103,5985.0,0.07101924775813097,103,5985.0
130.0,99,3477.0,25.94776119402985,1.4870490426793919,342010.9152787974,18882.531547044626,94.01086445780338,154.46145273033247,109091.92647742953,259772.67461049935,16308.618334585417,80.36057911340458,119.20022206655854,82861.1337724128,3710.769230769231,99,6262.0,0.067240390620052,99,6262.0
135.0,93,2869.0,20.94160583941606,1.5585976024186714,349860.79640180647,18980.647595239185,94.58991722719992,157.54853575055463,111595.6838132052,244014.71829836193,15317.295242796285,75.47648288579272,111.96514730056208,77834.73045316766,3653.3333333333335,93,6611.0,0.06717907216648401,93,6611.0
140.0,88,2421.0,17.292857142857144,1.634766922484886,373170.3777747724,19495.69137450507,97.54077269521963,167.9566542075608,119030.34517988063,230919.24249768959,14491.656814942984,71.4094041287907,105.95253858684463,73657.59229488719,3600.0,88,6771.0,0.05799659985087192,88,6771.0
145.0,89,2285.0,15.979020979020978,1.8866114004860968,390166.99811797444,19803.442874134496,99.32313831367102,173.9581224490892,124451.6578945412,233560.79450416623,14659.200173789566,72.2344527263949,107.16873296430934,74500.18308071951,3550.3448275862065,89,7037.0,0.06193092189869371,89,7037.0
150.0,94,2386.0,17.042857142857144,1.958066992708258,377661.50813631556,19502.558517534977,97.53704596311259,167.93594111396098,120462.99896098475,246670.84868562352,15481.504094915359,76.28657078993331,113.18250084641066,78681.96984196258,3360.0,94,7242.0,0.0605664328593331,94,7242.0
155.0,107,2896.0,20.3943661971831,2.1090897135186175,384509.24387936323,19998.445726298884,99.96170846604673,170.72377320867983,122647.35131918624,280786.94983208814,17622.912006420065,86.83849233339207,128.83684753901383,89564.17203576626,3298.064516129032,107,7587.0,0.07984858524641802,107,7587.0
160.0,114,3459.0,24.707142857142856,2.0275073458762907,393528.25049374433,20154.37707615426,100.963015425897,175.01972505296496,125523.93797457994,299206.0168983541,18782.764137450562,92.55263403504921,137.29826207751182,95439.40452884641,3150.0,114,7908.0,0.07603531839757183,114,7908.0
165.0,112,3872.0,27.85611510791367,1.8579541743717063,359738.4572938921,19528.07370811637,97.21877239773285,160.71923611854183,114746.52647492591,293968.6791382853,18455.078225510937,90.93762172160329,134.89763391354657,93768.8219806487,3032.727272727273,112,8091.0,0.07259929010155462,112,8091.0
170.0,107,3662.0,26.15714285714286,1.7096427691310538,382509.3196889341,19903.11871650012,99.53852255108146,170.82944865934505,122009.33365062345,280829.53619874216,17629.33801339248,86.86902461347873,128.86567451639263,89577.75656099629,2964.7058823529414,107,8378.0,0.07421928164792983,107,8378.0
175.0,98,3169.0,22.635714285714286,1.5134207346183302,365922.41089038627,19740.649058115177,98.4379824628132,164.45725693132775,116718.8682751814,257197.12149379015,16145.062199115895,79.55542766093969,118.0193087087473,82039.59396103419,2880.0,98,8578.0,0.06782560103240559,98,8578.0
